Time [ps]	320.2 nm	325.3 nm	330.1 nm	335.2 nm	340.3 nm	345.1 nm	350.2 nm	355.3 nm	360.4 nm	365.3 nm	370.4 nm	375.5 nm	380.4 nm	385.5 nm	390.7 nm	407.6 nm	412.7 nm	417.9 nm	422.8 nm	428.0 nm	433.2 nm	438.4 nm	443.3 nm	448.5 nm	453.7 nm	458.6 nm	463.8 nm	469.0 nm	473.9 nm	479.2 nm	484.4 nm	489.3 nm	494.6 nm	499.8 nm	505.1 nm	510.0 nm	515.3 nm	520.5 nm	525.5 nm	530.8 nm	536.1 nm	541.0 nm	546.3 nm	551.6 nm	556.6 nm	561.9 nm	567.2 nm	572.5 nm	577.5 nm	582.9 nm	588.2 nm	593.2 nm	598.5 nm	603.9 nm	608.9 nm	614.3 nm	619.6 nm	624.7 nm	630.0 nm	635.4 nm	640.7 nm	645.8 nm	651.2 nm	656.6 nm	661.7 nm	667.0 nm	672.4 nm	677.5 nm	682.9 nm	688.3 nm	693.5 nm	698.9 nm	704.3 nm
-0.2000000	-0.0004452	-0.0002128	-0.0001771	-0.0002497	-0.0000495	-0.0001615	-0.0001062	-0.0001574	-0.0001219	-0.0000581	-0.0000600	0.0000223	-0.0000386	0.0000424	0.0000732	-0.0000657	-0.0000091	-0.0000013	-0.0000072	-0.0000009	0.0000041	0.0000081	-0.0000149	0.0000466	0.0000173	0.0000437	0.0001129	0.0000281	0.0000860	0.0000910	0.0001018	0.0000748	0.0001059	0.0001137	0.0001307	0.0001821	0.0000687	0.0000926	0.0000422	0.0000207	0.0000407	-0.0000286	0.0000879	0.0000026	-0.0000663	-0.0001667	-0.0000986	-0.0001800	-0.0001653	-0.0002120	-0.0002626	-0.0002174	-0.0000267	-0.0000432	-0.0001452	-0.0001199	-0.0001015	-0.0000241	-0.0000553	0.0000031	0.0000491	0.0000216	0.0000078	-0.0001480	-0.0001443	-0.0002616	-0.0001252	-0.0000720	-0.0000885	-0.0001678	-0.0002129	-0.0002589	0.0000120
-0.1000000	-0.0004452	-0.0002128	-0.0001771	-0.0002497	-0.0000495	-0.0001615	-0.0001062	-0.0001574	-0.0000997	-0.0000355	-0.0000211	0.0000015	0.0000039	-0.0000154	-0.0000480	0.0001322	0.0000812	0.0000862	0.0001272	0.0001624	0.0002381	-0.0000332	0.0000106	0.0000020	-0.0000722	-0.0000999	-0.0000898	-0.0001186	-0.0001242	-0.0001889	-0.0001355	-0.0001813	-0.0001279	-0.0000957	-0.0001177	-0.0001733	-0.0000243	-0.0001179	0.0000115	-0.0001419	-0.0000970	-0.0001010	0.0000254	-0.0001037	-0.0000612	-0.0000746	-0.0001342	-0.0000841	-0.0001999	-0.0001314	-0.0002348	-0.0001411	-0.0000179	-0.0000402	-0.0001111	-0.0000358	-0.0001459	-0.0000469	-0.0001048	-0.0000710	-0.0000969	-0.0000309	-0.0000601	-0.0000750	-0.0002094	-0.0002624	-0.0002604	-0.0001383	-0.0001436	-0.0001293	-0.0000573	-0.0000774	-0.0000986
-0.0500000	-0.0004452	-0.0002128	-0.0001771	-0.0002497	-0.0000495	-0.0001349	-0.0000497	-0.0000236	0.0000221	0.0000225	0.0000390	-0.0000207	0.0000685	-0.0000071	0.0001900	0.0001465	0.0000400	-0.0000897	-0.0000008	-0.0001339	-0.0000808	-0.0001898	-0.0000947	-0.0001354	-0.0001194	-0.0000685	-0.0001276	-0.0000772	-0.0000587	-0.0000832	-0.0000953	-0.0001677	-0.0000887	-0.0000875	-0.0000814	-0.0001555	-0.0000679	-0.0000973	-0.0000296	-0.0001129	-0.0000086	-0.0000542	0.0000176	-0.0000521	-0.0000500	-0.0000916	-0.0000292	-0.0000532	-0.0000545	-0.0000341	0.0000172	-0.0000213	0.0001167	0.0000080	-0.0000706	0.0000951	-0.0000577	0.0000560	-0.0000005	0.0000178	-0.0000177	0.0000718	0.0000568	-0.0000274	-0.0000635	-0.0000923	-0.0001400	-0.0000639	-0.0000488	-0.0000085	-0.0001584	-0.0002965	-0.0001271
0.0000000	-0.0004452	-0.0002128	-0.0001656	-0.0001149	-0.0000088	0.0000266	0.0000565	0.0001338	0.0001292	0.0000627	0.0002617	0.0003094	0.0001875	-0.0000534	0.0002581	-0.0000434	-0.0001055	-0.0000605	0.0000974	0.0000126	0.0000243	-0.0000536	-0.0000382	-0.0000224	-0.0000400	-0.0000270	0.0000366	-0.0000729	-0.0000039	-0.0000724	-0.0000080	-0.0000891	-0.0000033	-0.0000095	-0.0000775	0.0000266	-0.0000100	0.0000343	-0.0000448	-0.0000365	-0.0000068	-0.0000759	0.0000190	-0.0000484	-0.0000509	-0.0001204	-0.0000361	-0.0001184	-0.0000374	-0.0001188	-0.0000871	-0.0000802	-0.0000120	-0.0000244	-0.0001067	0.0000841	-0.0000014	0.0000282	0.0000660	0.0000981	0.0000372	0.0001140	0.0001119	-0.0000537	-0.0001154	-0.0001065	-0.0001395	-0.0001222	-0.0000762	-0.0001327	-0.0001593	-0.0002573	-0.0002873
0.0500000	-0.0002814	-0.0000616	0.0000115	0.0001347	0.0000407	0.0001224	0.0000968	0.0002262	0.0002503	-0.0000117	0.0001209	-0.0001415	-0.0000613	-0.0001251	-0.0001108	-0.0000693	-0.0000227	-0.0000025	0.0000175	0.0000310	0.0000285	-0.0000780	-0.0000680	-0.0000093	-0.0000481	0.0000484	0.0000097	-0.0000284	0.0000546	-0.0000748	0.0000267	-0.0000474	-0.0000056	-0.0000588	-0.0000861	-0.0000636	-0.0001003	-0.0000891	-0.0001025	-0.0000448	-0.0000629	-0.0000502	0.0000335	-0.0000418	-0.0000221	-0.0000988	0.0000091	-0.0000423	-0.0000638	-0.0000455	-0.0000383	0.0000853	-0.0000021	0.0000703	0.0000061	0.0000719	0.0000568	0.0001084	0.0001890	0.0001462	0.0002138	0.0001750	0.0001782	0.0001022	0.0000926	-0.0000144	0.0000417	0.0001040	0.0000562	-0.0000583	0.0000231	-0.0000098	-0.0000259
0.1000000	0.0001638	0.0001512	0.0001444	0.0003132	0.0002702	-0.0000115	-0.0000122	-0.0000249	-0.0002350	-0.0001245	-0.0001264	-0.0000537	-0.0000681	0.0000982	0.0000955	0.0000344	-0.0000173	-0.0001038	-0.0001466	-0.0000545	0.0000058	-0.0001004	-0.0001067	-0.0000968	-0.0001012	-0.0000364	-0.0001055	-0.0000642	-0.0000977	-0.0001416	-0.0000836	-0.0000539	-0.0001267	-0.0000666	-0.0001088	-0.0000827	-0.0001074	-0.0000021	-0.0000864	-0.0000590	-0.0000738	-0.0000881	0.0000304	-0.0000879	0.0000049	-0.0000275	-0.0000509	0.0000227	-0.0000098	0.0000510	0.0000171	0.0000358	0.0000215	0.0000451	0.0000238	0.0001131	0.0001413	0.0000930	0.0002563	0.0001946	0.0002557	0.0002094	0.0002090	0.0000671	0.0000501	-0.0000058	-0.0001297	0.0000493	-0.0001329	-0.0001265	-0.0000800	-0.0000970	-0.0002555
0.1500000	0.0005851	0.0001865	-0.0000984	0.0002510	0.0000842	-0.0001463	-0.0001433	-0.0001726	-0.0001861	-0.0000852	0.0000354	0.0001372	0.0001059	0.0000965	-0.0002277	-0.0001581	-0.0000372	-0.0001689	-0.0001342	-0.0000379	-0.0000269	-0.0000930	-0.0001504	-0.0000670	-0.0000350	-0.0000512	-0.0001006	-0.0001166	-0.0000912	-0.0001150	-0.0001070	-0.0001042	-0.0001003	-0.0000628	-0.0001048	-0.0001438	-0.0000954	-0.0000446	-0.0001167	-0.0001052	-0.0000920	-0.0001375	-0.0000136	-0.0001615	-0.0000443	-0.0000737	-0.0000846	-0.0000647	-0.0000595	-0.0000279	-0.0000846	-0.0000646	0.0001456	0.0001277	0.0001284	0.0001687	0.0002004	0.0001071	0.0003022	0.0002234	0.0001359	0.0000772	-0.0000156	-0.0001910	-0.0002152	-0.0002423	-0.0001841	-0.0001094	-0.0002240	-0.0002598	0.0000463	0.0000511	-0.0000759
0.2000000	0.0004070	-0.0001210	-0.0001401	-0.0000692	0.0000128	-0.0002588	-0.0000097	0.0001046	0.0001063	-0.0000824	-0.0003088	-0.0002965	-0.0004459	-0.0000802	-0.0002091	-0.0000428	0.0000038	-0.0001197	-0.0001019	-0.0001163	-0.0000209	-0.0000259	-0.0000281	0.0000470	-0.0000297	-0.0000338	-0.0001137	-0.0001404	-0.0000506	-0.0001684	-0.0000665	-0.0001739	-0.0001276	-0.0001396	-0.0000960	-0.0001039	-0.0001455	-0.0001233	-0.0000962	-0.0000987	-0.0000700	-0.0000697	0.0000611	-0.0000823	-0.0000108	0.0000039	0.0000498	0.0000322	-0.0000004	0.0000340	0.0001146	0.0001045	0.0002049	0.0001935	0.0001741	0.0001731	0.0001898	0.0001079	0.0001715	0.0001709	0.0000698	0.0000887	0.0000019	-0.0001251	-0.0000643	-0.0000457	-0.0000315	0.0000998	0.0000491	0.0002193	0.0000810	0.0000046	-0.0001391
0.2500000	-0.0001212	-0.0002914	-0.0001057	0.0000359	0.0003487	0.0000470	0.0000287	-0.0003274	-0.0003665	-0.0002563	-0.0001692	-0.0000495	-0.0000446	-0.0000552	-0.0001944	-0.0001219	0.0000122	-0.0000980	0.0000002	-0.0000481	0.0000064	0.0000238	-0.0000763	-0.0000653	-0.0000733	-0.0001225	-0.0002132	-0.0001564	-0.0001571	-0.0001252	-0.0000478	-0.0001067	-0.0001678	-0.0000384	-0.0000280	-0.0000513	-0.0001097	-0.0000637	-0.0000039	0.0000096	-0.0000335	-0.0000917	0.0001331	-0.0000964	0.0000074	0.0000264	-0.0000339	-0.0000260	-0.0000011	-0.0000323	0.0000311	0.0000410	-0.0000118	0.0000730	0.0000049	0.0000869	0.0000373	0.0000352	0.0000533	0.0001016	0.0000618	0.0002051	0.0001678	0.0000017	0.0000752	-0.0000152	0.0000149	0.0001920	0.0000372	-0.0001177	-0.0001468	-0.0001271	-0.0001483
0.3000000	-0.0002324	0.0001596	0.0001458	0.0001573	0.0000489	-0.0003129	-0.0000811	-0.0002237	-0.0002046	-0.0001615	-0.0001789	-0.0002364	-0.0003019	-0.0001027	-0.0001244	-0.0000815	-0.0000476	-0.0002195	-0.0000514	-0.0001714	0.0000032	-0.0000582	-0.0002048	-0.0001556	-0.0001168	-0.0001027	-0.0001129	-0.0002054	-0.0000728	0.0000216	-0.0000246	-0.0000515	-0.0001433	-0.0000127	-0.0000516	-0.0000815	-0.0001111	-0.0000495	-0.0000297	-0.0000441	-0.0000574	-0.0001754	0.0000018	-0.0001424	-0.0001338	-0.0001466	-0.0002078	-0.0001406	-0.0001843	-0.0001489	-0.0002298	-0.0001574	-0.0001318	-0.0000575	-0.0000760	0.0000654	0.0000038	0.0000447	0.0001300	0.0001807	0.0002039	0.0004131	0.0003630	0.0003579	0.0004303	0.0005189	0.0005156	0.0005555	0.0005343	0.0005054	0.0005432	0.0004479	0.0005787
